"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"194","Alternative Succession","13651_40_41_50",0.0013688,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1596,2869819,4.6,3928.2082472
"195","Alternative Succession","13651_40_41_50",0.0013688,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1568,232481,0.4,318.2199928
"196","Alternative Succession","13651_40_41_50",0.0013688,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1650,453,0,0.6200664
"197","Alternative Succession","13651_51",0.0022104,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1623,1207476,1.9,2669.0049504
"198","Alternative Succession","13652_41",0.0016886,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",1597,551175,0.9,930.714105
"199","Alternative Succession","13652_51",0.0013544,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",1624,731479,1.2,990.7151576
"200","Alternative Succession","13940_39_40_41",0.0012218,"North-Central Interior Oak Savanna",1599,97467,0.2,119.0851806
"201","Alternative Succession","13940_39_40_41",0.0012218,"North-Central Interior Oak Savanna",1652,453,0,0.5534754
"202","Alternative Succession","13940_50_51",0.0043678,"North-Central Interior Oak Savanna",1570,240826,0.4,1051.8798028
"203","Alternative Succession","13950_41_42_43_49_52",0.0013398,"North-Central Oak Barrens",1600,77789,0.1,104.2217022
"204","Alternative Succession","13950_50",0.0051966,"North-Central Oak Barrens",1571,23594,0,122.6085804
"205","Alternative Succession","14071_41_50_51",0.00028,"Laurentian Pine-Oak Barrens",1628,998246,1.6,279.50888
"206","Alternative Succession","14071_41_50_51",0.00028,"Laurentian Pine-Oak Barrens",1601,53326,0.1,14.93128
"207","Alternative Succession","14071_41_50_51",0.00028,"Laurentian Pine-Oak Barrens",1572,25156,0,7.04368
"208","Alternative Succession","14090_50_64",0.0012928,"Great Lakes Alvar",1574,14939,0,19.3131392
"209","Alternative Succession","14120_39_40_41_42_43_50_51",0.008124,"North-Central Interior Sand and Gravel Tallgrass Prairie",1575,18815,0,152.85306
"210","Alternative Succession","14120_39_40_41_42_43_50_51",0.008124,"North-Central Interior Sand and Gravel Tallgrass Prairie",1603,6437,0,52.294188
"211","Alternative Succession","14120_39_40_41_42_43_50_51",0.008124,"North-Central Interior Sand and Gravel Tallgrass Prairie",1631,5463,0,44.381412
"212","Alternative Succession","14120_39_40_41_42_43_50_51",0.008124,"North-Central Interior Sand and Gravel Tallgrass Prairie",1653,608,0,4.939392
"213","Alternative Succession","14200_41",0.0059012,"Northern Tallgrass Prairie",1604,7821,0,46.1532852
"214","Alternative Succession","14210_31_38_42_43_44_50_51",0.0058724,"Central Tallgrass Prairie",1576,9858,0,57.8901192
"215","Alternative Succession","14690_31_39_40_43",0.012826,"Eastern Great Plains Floodplain Systems",1655,9,0,0.115434
"216","Alternative Succession","14930_41_42_44_50",0.012543,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1612,31866,0.1,399.695238
"217","Alternative Succession","14930_41_42_44_50",0.012543,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1585,2660,0,33.36438
